"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2024","15,585.0","15,625.0","15,640.0","15,573.0","","-0.42%"
"03/07/2024","15,650.0","15,667.5","15,685.0","15,635.0","","-0.29%"
"03/06/2024","15,695.0","15,760.0","15,760.0","15,690.0","","-0.44%"
"03/05/2024","15,765.0","15,752.5","15,777.5","15,735.0","","0.19%"
"03/04/2024","15,735.0","15,705.0","15,740.0","15,704.5","","0.25%"
"03/01/2024","15,695.0","15,722.5","15,722.5","15,680.0","","-0.10%"
"02/29/2024","15,710.0","15,705.0","15,735.5","15,690.0","","0.19%"
"02/28/2024","15,680.0","15,645.0","15,692.0","15,645.0","","0.29%"
"02/27/2024","15,635.0","15,650.0","15,662.5","15,640.0","","0.06%"
"02/26/2024","15,625.0","15,622.5","15,642.5","15,619.0","","0.22%"
"02/23/2024","15,590.0","15,602.5","15,607.5","15,572.5","","0.03%"
"02/22/2024","15,585.0","15,640.0","15,659.5","15,589.5","","-0.29%"
"02/21/2024","15,630.0","15,670.0","15,685.0","15,635.0","","-0.16%"
"02/20/2024","15,655.0","15,640.0","15,669.0","15,637.5","","0.19%"
"02/19/2024","15,625.0","15,640.0","15,642.5","15,616.0","","0.06%"
"02/16/2024","15,615.0","15,655.0","15,677.5","15,620.0","","0.00%"
"02/15/2024","15,615.0","15,582.5","15,640.0","15,547.5","","-0.11%"
"02/14/2024","15,632.0","15,677.0","15,726.7","15,560.6","","0.27%"
"02/13/2024","15,590.0","15,590.0","15,614.0","15,565.0","","0.00%"
"02/12/2024","15,590.0","15,640.0","15,640.0","15,594.5","","-0.14%"
"02/09/2024","15,611.5","15,665.0","15,666.0","15,609.0","","-0.34%"
"02/08/2024","15,665.0","15,654.0","15,678.0","15,618.0","","0.22%"
"02/07/2024","15,630.0","15,722.5","15,727.5","15,615.0","","-0.60%"
"02/06/2024","15,725.0","15,752.5","15,757.5","15,722.5","","0.16%"
"02/05/2024","15,700.0","15,725.0","15,727.5","15,690.5","","0.29%"
"02/02/2024","15,655.0","15,755.0","15,755.0","15,644.0","","-0.67%"
"02/01/2024","15,760.0","15,787.5","15,802.5","15,757.5","","-0.10%"
"01/31/2024","15,775.0","15,802.5","15,818.0","15,778.0","","-0.01%"
"01/30/2024","15,777.0","15,800.0","15,816.0","15,775.0","","-0.18%"
"01/29/2024","15,805.0","15,812.5","15,833.0","15,807.5","","-0.06%"
